"ident","type","name","latitude_deg","longitude_deg","iso_country"
"CYET","medium_airport","Edson","53.57889938","-116.4649963","CA"
"CYEV","medium_airport","Inuvik Mike Zubko","68.30419922","-133.4830017","CA"
"CYEY","medium_airport","Amos/Magny","48.563903","-78.249702","CA"
"CYFB","medium_airport","Iqaluit","63.756402","-68.555801","CA"
"CYFC","medium_airport","Fredericton International","45.868697","-66.529891","CA"
"CYFD","medium_airport","Brantford Municipal","43.131401","-80.342499","CA"
"CYFE","medium_airport","Forestville","48.74610138","-69.09719849","CA"
"CYFJ","medium_airport","Mont-Tremblant International","46.409401","-74.779999","CA"
"CYFR","medium_airport","Fort Resolution","61.18080139","-113.6900024","CA"
"CYFS","medium_airport","Fort Simpson","61.7602005","-121.2369995","CA"
"CYGD","medium_airport","Goderich","43.76689911","-81.71060181","CA"
"CYGE","medium_airport","Golden","51.299196","-116.982002","CA"
"CYGK","medium_airport","Kingston Norman Rogers","44.2253","-76.596901","CA"
"CYGL","medium_airport","La Grande Rivière","53.62530136","-77.70420074","CA"
"CYGM","medium_airport","Gimli Industrial Park","50.62810135","-97.04329681","CA"
"CYGP","medium_airport","Michel-Pouliot Gaspé","48.774915","-64.481893","CA"
"CYGQ","medium_airport","Geraldton Greenstone Regional","49.77830124","-86.93939972","CA"
"CYGR","medium_airport","Îles-de-la-Madeleine","47.425242","-61.778612","CA"
"CYGV","medium_airport","Havre-Saint-Pierre","50.281898","-63.611401","CA"
"CYGW","medium_airport","Kuujjuarapik","55.2818985","-77.76529694","CA"
"CYHD","medium_airport","Dryden Regional","49.831699","-92.744202","CA"
"CYHF","medium_airport","Hearst René Fontaine Municipal","49.71419907","-83.68609619","CA"
"CYHM","medium_airport","John C. Munro Hamilton International","43.17348","-79.931185","CA"
"CYHN","medium_airport","Hornepayne Municipal","49.19309998","-84.7589035","CA"
"CYHT","medium_airport","Haines Junction","60.7892","-137.546005","CA"
"CYHU","medium_airport","Montréal / Saint-Hubert Metropolitan","45.517502","-73.416901","CA"
"CYHY","medium_airport","Hay River / Merlyn Carter","60.83969879","-115.7829971","CA"
"CYHZ","large_airport","Halifax / Stanfield International","44.88079834","-63.50859833","CA"
"CYIB","medium_airport","Atikokan Municipal","48.773899","-91.638603","CA"
"CYID","medium_airport","Digby / Annapolis Regional","44.54584504","-65.78542471","CA"
"CYIF","medium_airport","St Augustin","51.2117","-58.658298","CA"
"CYIV","medium_airport","Island Lake","53.85720062","-94.6536026","CA"
"CYJF","medium_airport","Fort Liard","60.2358017","-123.4690018","CA"
"CYJN","medium_airport","St Jean","45.29439926","-73.28109741","CA"
"CYJT","medium_airport","Stephenville Dymond International","48.54339","-58.552892","CA"
"CYKA","medium_airport","Kamloops John Moose Fulton Field Regional","50.703038","-120.448641","CA"
"CYKF","medium_airport","Region of Waterloo International","43.4608","-80.378601","CA"
"CYKJ","medium_airport","Key Lake","57.2560997","-105.6179962","CA"
"CYKL","medium_airport","Schefferville","54.80530167","-66.80529785","CA"
"CYKM","medium_airport","Kincardine Municipal","44.201401","-81.606697","CA"
"CYKX","medium_airport","Kirkland Lake","48.21030045","-79.98139954","CA"
"CYKY","medium_airport","Kindersley","51.51750183","-109.1809998","CA"
"CYLD","medium_airport","Chapleau","47.81999969","-83.34670258","CA"
"CYLJ","medium_airport","Meadow Lake","54.12530136","-108.5230026","CA"
"CYLL","medium_airport","Lloydminster","53.3092","-110.072998","CA"
"CYLR","medium_airport","Leaf Rapids","56.51330185","-99.98529816","CA"
"CYLS","medium_airport","Barrie-Lake Simcoe Regional","44.485056","-79.554663","CA"
"CYLT","medium_airport","Alert","82.517263","-62.283037","CA"
"CYLW","large_airport","Kelowna International","49.9561","-119.377998","CA"
"CYMA","medium_airport","Mayo","63.61640167","-135.8679962","CA"
"CYME","medium_airport","Matane","48.85689926","-67.45330048","CA"
"CYMG","medium_airport","Manitouwadge","49.08390045","-85.86060333","CA"
"CYMJ","medium_airport","Moose Jaw Air Vice Marshal C. M. McEwen","50.33029938","-105.5589981","CA"
"CYML","medium_airport","Charlevoix","47.59749985","-70.22389984","CA"
"CYMM","medium_airport","Fort McMurray International","56.653301","-111.222","CA"
"CYMO","medium_airport","Moosonee","51.29109955","-80.60780334","CA"
"CYMT","medium_airport","Chapais","49.77190018","-74.52809906","CA"
"CYMX","medium_airport","Montreal Mirabel International","45.679501","-74.038696","CA"
"CYNA","medium_airport","Natashquan","50.190114","-61.78898","CA"
"CYND","medium_airport","Ottawa / Gatineau","45.521702","-75.563599","CA"
"CYNJ","medium_airport","Langley","49.1008","-122.630997","CA"
"CYNL","medium_airport","Points North Landing","58.27669907","-104.0820007","CA"
"CYNM","medium_airport","Matagami","49.76169968","-77.80280304","CA"
"CYNN","medium_airport","Nejanilini Lake","59.48749924","-97.78029633","CA"
"CYOA","medium_airport","Ekati","64.69889832","-110.6149979","CA"
"CYOD","medium_airport","CFB Cold Lake","54.40499878","-110.2789993","CA"
"CYOJ","medium_airport","High Level","58.62139893","-117.1650009","CA"
"CYOO","medium_airport","Oshawa Executive","43.922798","-78.894997","CA"
"CYOP","medium_airport","Rainbow Lake","58.491402","-119.407997","CA"
"CYOS","medium_airport","Owen Sound / Billy Bishop Regional","44.59030151","-80.83750153","CA"
"CYOW","large_airport","Ottawa Macdonald-Cartier International","45.322498","-75.669197","CA"
"CYPA","medium_airport","Prince Albert Glass Field","53.21419907","-105.6729965","CA"
"CYPD","medium_airport","Port Hawkesbury","45.65670013","-61.36809921","CA"
"CYPE","medium_airport","Peace River","56.226898","-117.446999","CA"
"CYPG","medium_airport","Portage-la-Prairie / Southport","49.903099","-98.273817","CA"
"CYPK","medium_airport","Pitt Meadows Regional","49.21488","-122.709294","CA"
"CYPL","medium_airport","Pickle Lake","51.44639969","-90.21420288","CA"
"CYPN","medium_airport","Port-Menier","49.836399","-64.288597","CA"
"CYPQ","medium_airport","Peterborough Regional","44.232251","-78.362053","CA"
"CYPR","medium_airport","Prince Rupert","54.28609848","-130.4450073","CA"
"CYPW","medium_airport","Powell River","49.83420181","-124.5","CA"
"CYPX","medium_airport","Puvirnituq","60.050598","-77.286903","CA"
"CYPY","medium_airport","Fort Chipewyan","58.76720047","-111.1169968","CA"
"CYPZ","medium_airport","Burns Lake","54.3764","-125.950996","CA"
"CYQA","medium_airport","Muskoka","44.975376","-79.306546","CA"
"CYQB","large_airport","Quebec Jean Lesage International","46.7911","-71.393303","CA"
"CYQD","medium_airport","The Pas","53.97140121","-101.0910034","CA"
"CYQF","medium_airport","Red Deer Regional","52.182201","-113.893997","CA"
"CYQG","medium_airport","Windsor International","42.2756","-82.955597","CA"
"CYQH","medium_airport","Watson Lake","60.116839","-128.821993","CA"
"CYQI","medium_airport","Yarmouth","43.82690048","-66.08809662","CA"
"CYQK","medium_airport","Kenora","49.78829956","-94.36309814","CA"
"CYQL","medium_airport","Lethbridge County","49.63029861","-112.8000031","CA"
"CYQM","medium_airport","Greater Moncton Roméo LeBlanc International","46.113189","-64.67719","CA"
"CYQN","medium_airport","Nakina","50.18280029","-86.6964035","CA"
"CYQQ","medium_airport","Comox Valley International / CFB Comox","49.7108","-124.887001","CA"
"CYQR","medium_airport","Regina International","50.431938","-104.660906","CA"
"CYQS","medium_airport","St Thomas Municipal","42.77000046","-81.1108017","CA"
"CYQT","medium_airport","Thunder Bay International","48.371899","-89.323898","CA"
"CYQU","medium_airport","Grande Prairie","55.17969894","-118.8850021","CA"
"CYQV","medium_airport","Yorkton Municipal","51.264702","-102.461998","CA"
"CYQW","medium_airport","North Battleford","52.769409","-108.243742","CA"
"CYQX","medium_airport","Gander International","48.936258","-54.567719","CA"
"CYQY","medium_airport","Sydney / J.A. Douglas McCurdy","46.161072","-60.049759","CA"
"CYQZ","medium_airport","Quesnel","53.02610016","-122.5100021","CA"
"CYRB","medium_airport","Resolute Bay","74.71690369","-94.9693985","CA"
"CYRI","medium_airport","Rivière-du-Loup","47.76440048","-69.58470154","CA"
"CYRJ","medium_airport","Roberval","48.519665","-72.265735","CA"
"CYRL","medium_airport","Red Lake","51.06689835","-93.79309845","CA"
"CYRO","medium_airport","Ottawa / Rockcliffe","45.460496","-75.644001","CA"
"CYRP","medium_airport","Ottawa / Carp","45.31919861","-76.02220154","CA"
"CYRQ","medium_airport","Trois-Rivières","46.35279846","-72.67939758","CA"
"CYRT","medium_airport","Rankin Inlet","62.81140137","-92.11579895","CA"
"CYRV","medium_airport","Revelstoke","50.962245","-118.184258","CA"
"CYSB","medium_airport","Sudbury","46.625","-80.79889679","CA"
"CYSC","medium_airport","Sherbrooke","45.438599","-71.691399","CA"
"CYSF","medium_airport","Stony Rapids","59.25030136","-105.8410034","CA"
"CYSG","medium_airport","Saint-Georges","46.096401","-70.714699","CA"
"CYSH","medium_airport","Smiths Falls-Montague (Russ Beach)","44.945801","-75.940598","CA"
"CYSJ","medium_airport","Saint John","45.31610107","-65.89029694","CA"
"CYSL","medium_airport","Saint-Léonard","47.157097","-67.836242","CA"
"CYSM","medium_airport","Fort Smith","60.020302","-111.961998","CA"
"CYSN","medium_airport","Niagara District","43.191598","-79.171686","CA"
"CYSP","medium_airport","Marathon","48.75529861","-86.3443985","CA"
"CYSU","medium_airport","Summerside","46.440601","-63.833599","CA"
"CYTA","medium_airport","Pembroke","45.86439896","-77.25170135","CA"
"CYTF","medium_airport","Alma","48.5089","-71.641899","CA"
"CYTH","medium_airport","Thompson","55.80110168","-97.86419678","CA"
"CYTR","medium_airport","CFB Trenton","44.1189003","-77.52809906","CA"
